subject,label,text
Re: New Sequences Window,0,"<|im_start|>system
    You are a precise phishing email subject classifier.
    Reply with ONLY one word: PHISHING or LEGITIMATE. Do not add any explanation.
    <|im_start|>user
    Analyze this email subject and classify it:

    Subject: Re: New Sequences Window
    <|im_start|>assistant
    LEGITIMATE"
[zzzzteana] RE: Alexander,0,"<|im_start|>system
    You are a precise phishing email subject classifier.
    Reply with ONLY one word: PHISHING or LEGITIMATE. Do not add any explanation.
    <|im_start|>user
    Analyze this email subject and classify it:

    Subject: [zzzzteana] RE: Alexander
    <|im_start|>assistant
    LEGITIMATE"
[zzzzteana] Moscow bomber,0,"<|im_start|>system
    You are a precise phishing email subject classifier.
    Reply with ONLY one word: PHISHING or LEGITIMATE. Do not add any explanation.
    <|im_start|>user
    Analyze this email subject and classify it:

    Subject: [zzzzteana] Moscow bomber
    <|im_start|>assistant
    LEGITIMATE"
[IRR] Klez: The Virus That  Won't Die,0,"<|im_start|>system
    You are a precise phishing email subject classifier.
    Reply with ONLY one word: PHISHING or LEGITIMATE. Do not add any explanation.
    <|im_start|>user
    Analyze this email subject and classify it:

    Subject: [IRR] Klez: The Virus That  Won't Die
    <|im_start|>assistant
    LEGITIMATE"
Re: [zzzzteana] Nothing like mama used to make,0,"<|im_start|>system
    You are a precise phishing email subject classifier.
    Reply with ONLY one word: PHISHING or LEGITIMATE. Do not add any explanation.
    <|im_start|>user
    Analyze this email subject and classify it:

    Subject: Re: [zzzzteana] Nothing like mama used to make
    <|im_start|>assistant
    LEGITIMATE"
Re: [zzzzteana] Nothing like mama used to make,0,"<|im_start|>system
    You are a precise phishing email subject classifier.
    Reply with ONLY one word: PHISHING or LEGITIMATE. Do not add any explanation.
    <|im_start|>user
    Analyze this email subject and classify it:

    Subject: Re: [zzzzteana] Nothing like mama used to make
    <|im_start|>assistant
    LEGITIMATE"
[zzzzteana] Playboy wants to go out with a bang,0,"<|im_start|>system
    You are a precise phishing email subject classifier.
    Reply with ONLY one word: PHISHING or LEGITIMATE. Do not add any explanation.
    <|im_start|>user
    Analyze this email subject and classify it:

    Subject: [zzzzteana] Playboy wants to go out with a bang
    <|im_start|>assistant
    LEGITIMATE"
Re: [zzzzteana] Nothing like mama used to make,0,"<|im_start|>system
    You are a precise phishing email subject classifier.
    Reply with ONLY one word: PHISHING or LEGITIMATE. Do not add any explanation.
    <|im_start|>user
    Analyze this email subject and classify it:

    Subject: Re: [zzzzteana] Nothing like mama used to make
    <|im_start|>assistant
    LEGITIMATE"
[zzzzteana] Meaningful sentences,0,"<|im_start|>system
    You are a precise phishing email subject classifier.
    Reply with ONLY one word: PHISHING or LEGITIMATE. Do not add any explanation.
    <|im_start|>user
    Analyze this email subject and classify it:

    Subject: [zzzzteana] Meaningful sentences
    <|im_start|>assistant
    LEGITIMATE"
[SAtalk] SA CGI Configurator Scripts,0,"<|im_start|>system
    You are a precise phishing email subject classifier.
    Reply with ONLY one word: PHISHING or LEGITIMATE. Do not add any explanation.
    <|im_start|>user
    Analyze this email subject and classify it:

    Subject: [SAtalk] SA CGI Configurator Scripts
    <|im_start|>assistant
    LEGITIMATE"
